decA,decB,decC,decD,decE,decF,objA,objB,objC,objD,auxA,auxB
0.09110522955250527,0.06216211238237855,0.5844299520828218,0.02639198064150837,0.02318839957180647,0.21272232576897954,0.7743662900344608,0.49520893070217176,0.9990535895386946,0.0030559074925814284,0.4130593382052347,0.40542791664620464
0.020068913407378413,0.060905522317971805,0.22979873441158166,0.23103596414992883,0.16953291716536062,0.28865794854777854,0.17528323034594928,0.9556308842967464,0.9991099610938216,3.202066529902799e-05,0.5177711126143397,0.4761811335516694
0.02186337360261798,0.06326366806438102,0.07457864641038621,0.3644631425805924,0.06295716247761535,0.41287400686440695,0.015651016551001318,0.9983955304811152,0.999004064578013,4.1359669070665436e-05,0.5953074506132059,0.5703504687290487
0.04023458631309368,0.08126703495086172,0.1258612900423081,0.1896160648390552,0.48627969933729004,0.07674132451739137,0.06042388901228346,0.9924473455299595,0.9978924932401282,0.000258881562428049,0.49758112422306505,0.40594698224002457
0.38821177117704525,0.3193294256211819,0.08084371149301091,0.05729685630582781,0.08486120079416308,0.06945703460877097,0.6174787941684552,0.9992038702124413,0.9353686968985226,0.198242635637519,0.5389144680610987,0.6159971085894409
0.061465559544970905,0.18374505841682975,0.08789521638067321,0.1472401778389333,0.424167628176923,0.09548635964166978,0.1310435295230057,0.9976688568327821,0.976592167997395,0.0009221613711466242,0.49637256028154325,0.45280665772143286
0.20003588053249527,0.2740429773085804,0.03098764100297489,0.19297399364131138,0.1656673138473494,0.13629219366728884,0.3349329641734943,0.9999231188029355,0.9353792508318655,0.030522726267551096,0.5521790673576635,0.5845827270879026
0.18451378029472854,0.043279392748725526,0.09265804110510271,0.5629473991971882,0.10907823948268887,0.007523147171566179,0.11969040712512724,0.9972273809109119,0.999713122182923,0.02427494935939598,0.6311360490074475,0.558006205401533
0.3256823106067081,0.18278222691491217,0.12633635262382925,0.004081501752919566,0.05751132648707285,0.30360628161455827,0.42243560724039564,0.9953031433694858,0.9842205143028655,0.12296489098181006,0.5373727119118035,0.5924197354044216
0.0036370013671488417,0.010879125314288583,0.031133786785152048,0.2153601425655995,0.7304151464673286,0.008574797500482486,-0.033340501237882236,0.9998788458769823,0.9999948230911295,1.9346239680448627e-07,0.5032723410933193,0.3449347417972006
0.12834636864118282,0.10102145885905874,0.014063334729508865,0.3730377286968732,0.28532151056448857,0.09820959850888789,0.07497069814647461,0.9999900231826712,0.9962061995213015,0.008208769829081438,0.5878923865348993,0.5260788572173133
0.11665859443987774,0.05530857954811264,0.41527161867828516,0.008741342225448779,0.10383048566398881,0.3001893794442869,0.50763178859136,0.7805596988947462,0.9993517758938424,0.006315911068186999,0.4509645949453837,0.4408508384917082
0.043236718157920594,0.31063163600841026,0.30962758919950456,0.19082751526602204,0.1228783155544988,0.022798225813643814,0.5051259078355248,0.9268554800683508,0.8929134920717406,0.0003270975222024945,0.45881746831058134,0.48686125374329575
0.005057510400246671,0.1673037618101227,0.24153778247041377,0.03239329057670506,0.2420496453004184,0.3116580094420936,0.2552111826956004,0.9527879140765839,0.9819069538439977,5.17444828571374e-07,0.457678330044683,0.4555175438414029
0.1887382519060881,0.06476947298387688,0.3428102935213396,0.07390907092777756,0.06029978131824934,0.2694731293426683,0.43176067331039614,0.8788658506121796,0.9990443303467549,0.02600157164014616,0.49192615603764067,0.4894129414086918
0.3720245694014934,0.1662666601553936,0.013438752018989558,0.017209158027106635,0.12029153339108692,0.3107693270059299,0.45558953709236927,0.9999948766212581,0.9895984992037885,0.17483810199306718,0.5696570298277611,0.6141846372799281
0.2658090184375159,0.0875974306888002,0.06496826706231884,0.3308934939111541,0.2246360385321703,0.026095751368040758,0.24515134326713095,0.999189305195505,0.9979641348574748,0.06887300264379206,0.5899297530834866,0.53987093224656
0.09114124998959633,0.13942551476059178,0.4463615966730333,0.0034985078912527488,0.05021089157160308,0.2693622391139227,0.5774918966631384,0.7457624704551447,0.9895569068221307,0.003050167014260073,0.43316142891587184,0.4534088436824971
0.23960745104714787,0.09140892913513497,0.43534947145671676,0.01610625208911204,0.09587520203931985,0.12165269423256865,0.6171768216249627,0.7927297791555792,0.9975159229285073,0.05233827999512211,0.4529851864699343,0.44984942667874245
0.03133231744328636,0.07912314036853851,0.04891532080877278,0.6885651686115944,0.09264717444093555,0.05941687832687229,-0.0030730795775217867,0.9995422857452616,0.9980267351470147,0.00012378299546096574,0.6447181004352351,0.5687877588946871
0.07133188568777199,0.050808850003311146,0.23905049198567,0.0762832499453232,0.19231099538133004,0.3702145269965938,0.19459663036429897,0.9506626682387553,0.9994882495523081,0.0014386103538606963,0.49556410458617167,0.4695102739367772
0.028206515850194954,0.183563822342506,0.04540202806089346,0.020568455352156796,0.4646357932284289,0.25762338516581995,0.10280925937011332,0.9996728991370352,0.9764089818026568,8.941096279322835e-05,0.4813703268855565,0.4522591683760813
0.0942847072152552,0.025796220537009248,0.24951891880074392,0.5801678760754614,0.003154405087727893,0.04707787228380254,0.20327541719658349,0.943740704801844,0.9999327339353558,0.003360338854381852,0.5979186002747336,0.5284520228720346
0.062156510071277746,0.4121226713980475,0.23592254924637954,0.058164961494666774,0.016686319657638175,0.21494698813199023,0.5741294962390493,0.9750208677720145,0.7727429342141787,0.000973541069596344,0.46024162564301924,0.5629528538547461
0.0950467551359738,0.3719032684191076,0.08839225539962568,0.24338424955074797,0.07894779569278021,0.12232567580176465,0.43373959517428196,0.9984546431270619,0.8315210745614501,0.003417956593185444,0.5301816069452684,0.593075798466305
0.1453648170214164,0.08800615074392845,0.1501703969447291,0.07364408515107822,0.2386824448675574,0.30413210527129036,0.1508071084620658,0.9882075773302752,0.9975121112473946,0.011932878166124249,0.5150933106349934,0.49532077354412635
0.06651185977306623,0.0026591013017266845,0.3968180104462656,0.05976657605897514,0.4047222034085804,0.0695222490113858,0.4530035712880124,0.7967406453949466,0.9999999255307693,0.0011782185937625612,0.4272596303146119,0.33178528423085235
0.06464857041128425,0.22529778073081558,0.37184756858592427,0.004237021328640714,0.1985407645144062,0.1354282944289289,0.5060583710429836,0.8573216774429174,0.9570938878885284,0.0010907500248084115,0.4188684432095326,0.43325804802163775
0.001900626644420409,0.013740148747042297,0.31175786602635014,0.26681943303445,0.3717687068059059,0.034013218741831316,0.29348706381944356,0.89301221691897,0.9999896591498311,2.7376467431730433e-08,0.4786011664444822,0.3684720409422042
0.23251864048058724,0.0062323434607748415,0.4082614562904763,0.024995368043396186,0.06762705856009552,0.2603651331646699,0.5610667837711287,0.8173617022321379,0.9999991995509768,0.047707026304665154,0.47829608517071415,0.4619189407704336
0.22271352806093783,0.4195186616272891,0.09788343629122111,0.07937264025584398,0.14626147453737523,0.03425025922733275,0.5840859340646738,0.998451843542052,0.7997937577677527,0.042353370456419744,0.49859242622766214,0.5820685049928012
